,ego,pro
1199,25.0,86.0
1200,33.0,93.0
1201,44.0,101.0
1202,24.0,93.0
1203,26.0,60.0
1204,25.0,102.0
1205,33.0,80.0
1206,44.0,60.0
1207,26.0,104.0
1208,24.0,48.0
1209,33.0,94.0
1210,44.0,109.0
1211,26.0,45.0
1212,26.0,48.0
1213,33.0,69.0
1214,44.0,99.0
1215,26.0,72.0
1216,24.0,101.0
1217,32.0,74.0
1218,44.0,75.0
1219,24.0,66.0
1220,24.0,133.0
1221,31.0,75.0
1222,44.0,131.0
1223,24.0,64.0
1224,24.0,71.0
1225,31.0,63.0
1226,43.0,71.0
1227,24.0,55.0
1228,29.0,50.0
1229,43.0,138.0
1230,24.0,48.0
1231,24.0,78.0
1232,24.0,134.0
1233,43.0,50.0
1234,24.0,112.0
1235,24.0,104.0
1236,24.0,103.0
1237,43.0,154.0
1238,24.0,97.0
1239,24.0,107.0
1240,24.0,100.0
1241,24.0,110.0
1242,24.0,95.0
1243,24.0,109.0
1244,26.0,105.0
1245,28.0,89.0
1246,24.0,107.0
1247,26.0,54.0
1248,28.0,45.0
1249,28.0,105.0
1250,24.0,42.0
1251,24.0,105.0
1252,28.0,99.0
1253,26.0,41.0
1254,28.0,101.0
1255,24.0,101.0
1256,24.0,207.0
1257,26.0,102.0
1258,24.0,101.0
1259,24.0,57.0
1260,26.0,117.0
1261,28.0,101.0
1262,24.0,63.0
1263,24.0,228.0
1264,26.0,100.0
1265,28.0,96.0
1266,24.0,225.0
1267,24.0,70.0
1268,26.0,61.0
1269,24.0,125.0
1270,24.0,61.0
1271,24.0,222.0
1272,26.0,229.0
1273,24.0,121.0
1274,24.0,121.0
1275,29.0,89.0
1276,24.0,122.0
1277,27.0,210.0
1278,24.0,198.0
1279,29.0,76.0
1280,24.0,199.0
1281,27.0,76.0
1282,24.0,202.0
1283,29.0,78.0
1284,24.0,103.0
1285,25.0,103.0
1286,27.0,100.0
1287,24.0,147.0
1288,29.0,90.0
1289,25.0,189.0
1290,24.0,150.0
1291,29.0,91.0
1292,25.0,152.0
1293,25.0,142.0
1294,24.0,95.0
1295,24.0,195.0
1296,24.0,95.0
1297,25.0,141.0
1298,25.0,106.0
1299,24.0,106.0
1300,25.0,102.0
1301,24.0,98.0
1302,25.0,84.0
1303,24.0,78.0
1304,24.0,113.0
1305,25.0,91.0
1306,24.0,113.0
1307,24.0,111.0
1308,24.0,112.0
1309,25.0,93.0
1310,25.0,96.0
1311,24.0,85.0
1312,25.0,85.0
1313,25.0,100.0
1314,24.0,151.0
1315,25.0,87.0
1316,25.0,113.0
1317,24.0,132.0
1318,24.0,126.0
1319,24.0,111.0
1320,24.0,98.0
1321,24.0,126.0
1322,24.0,97.0
1323,24.0,94.0
1324,24.0,90.0
1325,24.0,78.0
1326,24.0,101.0
1327,24.0,67.0
1328,24.0,98.0
1329,24.0,82.0
1330,24.0,136.0
1331,24.0,135.0
1332,24.0,158.0
1333,24.0,128.0
1334,24.0,110.0
1335,24.0,110.0
1336,24.0,82.0
1337,24.0,72.0
1338,24.0,73.0
1339,25.0,98.0
1340,26.0,93.0
1341,25.0,108.0
1342,26.0,110.0
1343,32.0,57.0
1344,25.0,57.0
1345,26.0,93.0
1346,32.0,55.0
1347,25.0,167.0
1348,26.0,88.0
1349,32.0,45.0
1350,25.0,150.0
1351,26.0,103.0
1352,32.0,94.0
1353,45.0,51.0
1354,25.0,96.0
1355,26.0,51.0
1356,32.0,157.0
1357,45.0,97.0
1358,25.0,88.0
1359,26.0,156.0
1360,45.0,82.0
