,wait
1403,27.0
1404,27.0
1405,16.0
1406,27.0
1407,13.0
1408,28.0
1409,25.0
1410,16.0
1411,14.0
1412,27.0
1413,16.0
1414,23.0
1415,27.0
1416,15.0
1417,14.0
1418,24.0
1419,14.0
1420,26.0
1421,17.0
1422,20.0
1423,15.0
1424,27.0
1425,22.0
1426,18.0
1427,14.0
1428,26.0
1429,18.0
1430,26.0
1431,23.0
1432,17.0
1433,18.0
1434,21.0
1435,24.0
1436,17.0
1437,20.0
1438,20.0
1439,20.0
1440,21.0
1441,18.0
1442,20.0
1443,20.0
1444,20.0
1445,20.0
1446,19.0
1447,20.0
1448,19.0
1449,20.0
1450,20.0
1451,18.0
1452,21.0
1453,20.0
1454,20.0
1455,17.0
1456,21.0
1457,20.0
1458,22.0
1459,21.0
1460,17.0
1461,21.0
1462,21.0
1463,20.0
1464,17.0
1465,21.0
1466,21.0
1467,22.0
1468,18.0
1469,18.0
1470,20.0
1471,18.0
1472,21.0
1473,19.0
1474,19.0
1475,23.0
1476,18.0
1477,21.0
1478,21.0
1479,18.0
1480,14.0
1481,20.0
1482,22.0
1483,20.0
1484,18.0
1485,16.0
1486,22.0
1487,21.0
1488,18.0
1489,19.0
1490,20.0
1491,22.0
1492,19.0
1493,19.0
1494,22.0
1495,19.0
1496,23.0
1497,18.0
1498,22.0
1499,19.0
1500,24.0
1501,20.0
1502,18.0
1503,19.0
1504,20.0
1505,24.0
1506,20.0
1507,19.0
1508,23.0
1509,21.0
1510,22.0
1511,23.0
1512,20.0
1513,22.0
1514,22.0
1515,19.0
1516,22.0
1517,19.0
1518,23.0
1519,23.0
1520,20.0
1521,19.0
1522,23.0
1523,19.0
1524,18.0
1525,20.0
1526,20.0
1527,16.0
1528,19.0
1529,22.0
1530,20.0
1531,15.0
1532,21.0
1533,21.0
1534,20.0
1535,16.0
1536,20.0
1537,20.0
1538,23.0
1539,19.0
1540,20.0
1541,17.0
1542,24.0
1543,20.0
1544,17.0
1545,20.0
1546,19.0
1547,20.0
1548,18.0
1549,21.0
1550,18.0
1551,21.0
1552,19.0
1553,17.0
1554,21.0
1555,18.0
1556,21.0
1557,20.0
1558,17.0
1559,22.0
1560,21.0
1561,17.0
1562,19.0
1563,20.0
1564,22.0
1565,16.0
1566,20.0
1567,21.0
1568,20.0
1569,22.0
1570,20.0
1571,21.0
1572,20.0
1573,22.0
1574,18.0
1575,22.0
1576,20.0
1577,20.0
1578,17.0
1579,20.0
1580,21.0
1581,20.0
1582,18.0
1583,20.0
1584,19.0
1585,20.0
1586,16.0
1587,20.0
1588,20.0
1589,17.0
1590,17.0
1591,23.0
1592,18.0
1593,18.0
1594,16.0
1595,18.0
1596,24.0
1597,19.0
1598,17.0
1599,20.0
1600,26.0
1601,16.0
1602,22.0
1603,26.0
1604,21.0
1605,16.0
1606,22.0
1607,26.0
1608,20.0
1609,16.0
1610,20.0
1611,21.0
1612,24.0
1613,19.0
1614,25.0
1615,20.0
1616,21.0
1617,19.0
1618,25.0
1619,20.0
1620,20.0
1621,17.0
1622,22.0
1623,21.0
1624,17.0
1625,21.0
1626,22.0
1627,20.0
1628,21.0
1629,23.0
1630,16.0
1631,21.0
1632,19.0
1633,23.0
1634,18.0
1635,21.0
1636,19.0
1637,23.0
1638,19.0
1639,20.0
1640,20.0
1641,24.0
1642,19.0
1643,20.0
1644,19.0
1645,21.0
1646,21.0
1647,20.0
1648,21.0
1649,19.0
1650,17.0
1651,20.0
1652,17.0
1653,17.0
1654,20.0
1655,16.0
1656,20.0
1657,21.0
1658,17.0
1659,20.0
1660,20.0
1661,15.0
1662,18.0
1663,17.0
1664,15.0
1665,21.0
1666,14.0
1667,18.0
1668,18.0
1669,20.0
1670,21.0
1671,15.0
1672,17.0
1673,21.0
1674,15.0
1675,21.0
1676,17.0
1677,21.0
1678,17.0
1679,15.0
1680,22.0
1681,17.0
1682,23.0
1683,22.0
1684,21.0
1685,15.0
1686,16.0
1687,15.0
1688,21.0
1689,23.0
1690,15.0
1691,15.0
1692,22.0
1693,22.0
1694,16.0
1695,14.0
1696,21.0
1697,22.0
1698,15.0
1699,13.0
1700,21.0
1701,23.0
1702,15.0
1703,21.0
1704,14.0
1705,15.0
1706,22.0
1707,14.0
1708,20.0
1709,14.0
1710,24.0
1711,14.0
1712,15.0
1713,21.0
1714,23.0
1715,14.0
1716,20.0
1717,22.0
1718,18.0
1719,13.0
1720,20.0
1721,19.0
1722,18.0
1723,17.0
1724,13.0
1725,18.0
1726,19.0
1727,17.0
1728,15.0
1729,17.0
1730,19.0
1731,14.0
1732,17.0
1733,16.0
1734,19.0
1735,15.0
1736,14.0
1737,17.0
1738,15.0
1739,22.0
1740,16.0
1741,16.0
1742,14.0
1743,16.0
1744,21.0
1745,14.0
1746,16.0
1747,22.0
1748,17.0
1749,15.0
1750,23.0
1751,16.0
1752,15.0
1753,19.0
1754,15.0
1755,23.0
1756,15.0
1757,15.0
1758,20.0
1759,23.0
1760,15.0
1761,19.0
1762,15.0
1763,24.0
1764,19.0
1765,16.0
1766,16.0
1767,17.0
1768,25.0
1769,17.0
1770,19.0
1771,21.0
1772,19.0
1773,17.0
1774,16.0
1775,21.0
1776,19.0
1777,18.0
1778,17.0
1779,18.0
1780,23.0
1781,18.0
1782,20.0
1783,22.0
1784,20.0
1785,18.0
1786,20.0
1787,22.0
1788,20.0
1789,16.0
1790,21.0
1791,16.0
1792,19.0
1793,22.0
1794,21.0
1795,19.0
1796,22.0
1797,16.0
1798,20.0
1799,19.0
1800,17.0
1801,21.0
1802,19.0
1803,17.0
1804,20.0
1805,21.0
1806,19.0
1807,16.0
1808,20.0
1809,20.0
1810,18.0
1811,20.0
1812,17.0
1813,20.0
1814,19.0
1815,22.0
1816,18.0
1817,21.0
1818,24.0
1819,18.0
1820,24.0
1821,24.0
1822,21.0
1823,18.0
1824,22.0
1825,23.0
1826,21.0
1827,16.0
1828,23.0
1829,23.0
1830,21.0
1831,18.0
1832,23.0
1833,18.0
1834,23.0
1835,18.0
1836,17.0
1837,26.0
1838,18.0
1839,23.0
1840,16.0
1841,27.0
1842,19.0
1843,24.0
1844,16.0
1845,27.0
1846,20.0
1847,25.0
1848,15.0
1849,27.0
1850,15.0
1851,19.0
1852,27.0
1853,19.0
1854,24.0
1855,15.0
1856,27.0
1857,20.0
1858,26.0
1859,15.0
1860,26.0
1861,24.0
1862,21.0
1863,15.0
1864,21.0
1865,20.0
1866,22.0
1867,18.0
1868,20.0
1869,18.0
1870,20.0
1871,18.0
1872,20.0
1873,18.0
1874,22.0
1875,18.0
1876,18.0
1877,19.0
1878,18.0
1879,22.0
1880,18.0
1881,17.0
1882,18.0
1883,21.0
1884,18.0
1885,17.0
1886,18.0
1887,18.0
1888,22.0
1889,14.0
1890,19.0
1891,18.0
1892,19.0
1893,13.0
1894,22.0
1895,17.0
1896,23.0
1897,20.0
1898,15.0
1899,21.0
1900,15.0
1901,16.0
1902,22.0
1903,20.0
1904,16.0
1905,20.0
1906,23.0
1907,20.0
1908,16.0
1909,20.0
1910,20.0
1911,16.0
1912,19.0
1913,25.0
1914,22.0
1915,16.0
1916,22.0
1917,22.0
1918,28.0
1919,16.0
1920,22.0
1921,23.0
1922,23.0
1923,16.0
1924,22.0
1925,23.0
1926,18.0
1927,15.0
1928,21.0
1929,18.0
1930,16.0
1931,25.0
1932,18.0
1933,20.0
1934,17.0
1935,27.0
1936,15.0
1937,20.0
1938,16.0
1939,26.0
1940,20.0
1941,16.0
1942,26.0
1943,21.0
1944,16.0
1945,18.0
1946,26.0
1947,18.0
1948,17.0
1949,20.0
1950,24.0
1951,18.0
1952,17.0
1953,17.0
1954,23.0
1955,17.0
1956,17.0
1957,22.0
1958,19.0
1959,17.0
1960,20.0
1961,17.0
1962,20.0
1963,17.0
1964,17.0
1965,21.0
1966,21.0
1967,16.0
1968,16.0
1969,21.0
1970,20.0
1971,16.0
1972,21.0
1973,19.0
1974,19.0
1975,17.0
1976,20.0
1977,19.0
1978,17.0
1979,17.0
1980,21.0
1981,20.0
1982,17.0
1983,18.0
1984,21.0
1985,20.0
1986,17.0
1987,21.0
1988,19.0
1989,17.0
1990,19.0
1991,24.0
1992,20.0
1993,20.0
1994,18.0
1995,23.0
1996,21.0
1997,19.0
1998,18.0
1999,23.0
2000,19.0
2001,17.0
2002,23.0
2003,21.0
2004,18.0
2005,24.0
2006,16.0
2007,20.0
2008,24.0
2009,16.0
2010,18.0
2011,21.0
2012,16.0
2013,23.0
2014,19.0
2015,21.0
2016,15.0
2017,24.0
2018,20.0
2019,20.0
2020,15.0
2021,24.0
2022,19.0
2023,18.0
2024,16.0
2025,24.0
2026,18.0
2027,24.0
2028,20.0
2029,13.0
2030,17.0
2031,25.0
2032,20.0
2033,13.0
2034,25.0
2035,17.0
2036,20.0
2037,15.0
2038,18.0
2039,16.0
2040,20.0
2041,14.0
2042,15.0
2043,18.0
2044,15.0
2045,20.0
2046,15.0
2047,15.0
2048,18.0
2049,16.0
2050,19.0
2051,15.0
2052,19.0
2053,16.0
2054,19.0
2055,15.0
2056,19.0
2057,15.0
2058,18.0
2059,16.0
2060,18.0
2061,15.0
2062,18.0
2063,16.0
2064,14.0
2065,17.0
2066,16.0
2067,18.0
2068,18.0
2069,16.0
2070,16.0
2071,17.0
2072,16.0
2073,19.0
2074,18.0
2075,17.0
2076,18.0
2077,19.0
2078,16.0
2079,16.0
2080,16.0
2081,16.0
2082,20.0
2083,16.0
2084,16.0
2085,15.0
2086,21.0
2087,16.0
2088,16.0
2089,21.0
2090,16.0
2091,18.0
2092,15.0
2093,17.0
2094,20.0
2095,15.0
2096,17.0
2097,17.0
2098,20.0
2099,15.0
2100,17.0
2101,12.0
2102,17.0
2103,20.0
2104,18.0
2105,12.0
2106,20.0
2107,18.0
2108,23.0
2109,12.0
2110,18.0
2111,22.0
2112,13.0
2113,21.0
2114,25.0
2115,19.0
2116,21.0
2117,12.0
2118,15.0
2119,24.0
2120,20.0
2121,16.0
2122,14.0
2123,27.0
2124,16.0
2125,21.0
2126,14.0
2127,27.0
2128,16.0
2129,14.0
2130,20.0
2131,15.0
2132,28.0
2133,22.0
2134,15.0
2135,14.0
2136,26.0
2137,15.0
2138,20.0
2139,25.0
