,Rewards,Steps,WaitTime
808,-377.43,150,15.77
809,-628.53,132,15.13
810,-532.03,146,16.51
811,-80.39,145,16.21
812,-478.67,131,15.56
813,-478.01,129,15.57
814,-487.02,133,17.03
815,-336.34,149,16.89
816,-676.6,149,15.19
817,-530.24,169,15.77
818,-578.74,147,14.94
819,-174.24,121,14.17
820,-77.28,125,15.49
821,-373.32,123,13.52
822,-371.27,136,13.26
823,-324.08,148,13.87
824,-280.24,153,16.35
825,-673.82,132,14.35
826,-427.96,135,15.6
827,-426.9,135,14.96
828,-831.37,132,16.11
829,-727.02,125,14.89
830,-428.24,141,15.67
831,-428.44,132,15.47
832,-426.36,137,14.72
833,-634.4,137,17.69
834,-478.65,145,15.82
835,-378.51,140,15.22
836,-381.33,128,15.18
837,-782.3,141,16.35
838,-975.1,137,14.64
839,-425.81,140,14.55
840,-432.91,149,15.42
841,-719.95,128,12.8
842,-224.11,124,14.55
843,-224.41,126,14.18
844,-574.38,129,13.57
845,-770.32,118,12.9
846,-425.77,133,14.0
847,-484.27,149,16.64
848,-573.23,129,13.6
849,-236.62,142,17.93
850,-384.19,167,15.65
851,-427.21,130,15.7
852,-428.18,134,15.49
853,-526.95,119,15.2
854,-326.41,131,13.97
855,-382.32,153,16.82
856,-532.01,137,15.51
857,-536.78,148,17.45
858,-384.42,139,17.26
859,-379.02,144,15.96
860,-722.0,124,13.07
861,-231.77,138,15.37
862,-433.58,132,16.92
863,-376.95,124,14.47
864,-336.53,141,17.29
865,-230.31,144,16.36
866,-772.33,121,13.75
867,-183.71,148,16.58
868,-573.24,131,14.39
869,-373.93,130,13.65
870,-525.28,122,15.04
871,-626.36,145,15.3
872,-475.88,130,15.25
873,-777.51,128,15.14
874,-380.34,136,15.67
875,-436.19,133,17.59
876,-287.43,143,17.87
877,-286.77,133,17.47
878,-631.23,132,15.17
879,-474.43,133,14.51
880,-273.88,118,14.59
881,-435.3,158,18.1
882,-332.55,124,16.4
883,-227.36,144,14.16
884,-473.7,133,14.01
885,-726.83,126,13.97
886,-536.28,159,17.02
887,-481.8,152,16.2
888,-222.88,124,13.27
889,-326.1,130,13.99
890,-387.33,144,18.2
891,-528.61,129,15.05
892,-173.51,122,14.32
893,-577.38,134,14.39
894,-525.28,127,14.84
895,-127.19,131,15.42
896,-633.46,162,15.9
897,-575.29,142,13.86
898,-333.11,126,16.73
899,-635.05,142,16.18
900,-530.06,124,15.62
901,-92.88,155,17.57
902,-481.06,140,16.07
903,-724.2,127,13.39
904,-526.89,121,15.72
905,-422.48,120,13.12
906,-376.08,131,15.17
907,-277.44,127,15.33
908,-526.98,130,14.36
909,-334.22,137,17.16
910,-776.71,127,15.69
911,-427.65,149,15.96
912,22.12,128,15.63
913,-730.23,127,15.42
914,-274.66,136,14.34
915,-824.28,141,14.43
916,-382.05,169,16.12
917,-277.28,135,14.49
918,-385.17,130,18.0
919,-281.62,146,15.69
920,-579.04,145,14.72
921,-629.36,132,14.59
922,-335.22,175,17.08
923,-572.68,122,13.68
924,-425.54,123,14.66
