,Rewards,Steps,WaitTime
379,-3855.7249699345784,244,60.19
380,-3276.0081058481887,289,64.73
381,-3169.7688873292454,268,57.26
382,-2647.507784813642,250,56.32
383,-2559.962539257747,284,57.03
384,-363.8989870827761,337,65.32
385,-2372.436167206593,262,61.21
386,-2456.695368053885,288,64.02
387,-2088.997846071368,277,66.19
388,-2519.5574962650953,252,50.52
389,-1413.8756723439976,328,68.66
390,-2443.971101518682,295,57.59
391,-1511.6743910465632,324,54.83
392,-1670.4852072173794,277,62.62
393,-2095.7650705123033,313,69.85
394,-2096.984920690362,317,70.2
395,-1701.2756340407082,284,68.35
396,-2298.2706943805383,299,72.25
397,-1431.5336843041823,263,57.26
398,-2586.860457397487,312,66.46
399,-1283.154784960801,325,68.25
400,-777.2146871570211,328,71.83
401,-2654.760376450566,306,56.35
402,-2863.689329650401,310,59.98
403,-2281.2001407438734,333,64.15
404,-2153.593740431341,321,61.36
405,-2899.359954808105,278,70.03
406,-1567.0302336225639,319,80.76
407,-1866.6141238484256,333,69.4
408,-1992.0238997855945,304,70.6
409,-1959.6845629486884,301,61.74
410,-1691.7985176860968,338,68.96
411,-1967.1670433300794,302,63.41
412,-1383.2645820067378,307,63.52
413,-1890.1981093461998,296,67.56
414,-2479.002107133213,285,65.44
415,-1483.0501772772204,275,63.88
416,-1390.4002351561585,300,66.09
417,-977.7486865100045,306,66.39
418,-2423.1041756034906,289,76.06
419,-1367.3442067650353,323,64.87
420,-3483.57594294947,266,58.15
421,-2316.2216387781427,290,71.59
422,-1733.4102217893014,329,76.03
423,-2367.2151132610024,301,64.13
424,-1157.3388151539464,260,60.79
425,-1712.028049410028,355,77.19
426,-1482.5018661990582,289,61.93
427,-1587.2930007308005,281,68.97
428,-1278.0064964942746,292,68.89
429,-2461.091312581416,264,62.76
430,-1199.2207996814684,301,70.09
431,-2531.664196470061,268,58.14
432,-2337.088601569578,294,70.25
433,-3587.177552500646,274,61.53
434,-3001.494707366622,284,71.31
435,-2064.3779228416124,250,60.25
436,-2165.445800894032,285,61.12
