,Rewards,Steps,WaitTime
594,-49.61,220,45.59
595,-5.57,299,54.24
596,-72.0,234,55.33
597,-59.36,216,42.78
598,-68.34,249,53.83
599,-152.26,227,53.31
600,-79.8,264,59.02
601,-143.47,265,54.86
602,2.24,247,46.17
603,-17.49,289,60.99
604,-86.48,273,58.68
605,-32.41,299,58.94
606,-55.32,315,71.95
607,-109.12,274,65.89
608,-10.66,281,58.26
609,24.76,266,49.82
610,-56.06,221,43.44
611,-7.62,250,46.44
612,-4.23,263,47.47
613,-56.67,267,62.47
614,-39.02,274,66.44
615,-46.05,248,55.52
616,-22.99,252,51.57
617,-57.26,250,50.67
618,-61.7,246,53.52
619,-35.5,258,48.37
620,-44.17,252,57.61
621,34.39,242,47.67
622,-80.01,274,59.21
623,-23.47,265,54.96
624,-47.04,291,53.93
625,-106.99,260,58.5
626,-17.21,259,52.27
627,-50.06,271,53.62
628,-22.54,245,56.17
629,0.06,251,56.26
630,-49.0,292,58.55
631,-67.49,298,64.03
632,-28.76,242,49.06
633,-66.21,269,53.48
634,-44.9,256,55.16
635,-35.06,278,47.29
636,-55.42,258,55.22
637,-15.08,225,48.85
638,-54.78,289,70.73
639,-4.94,258,48.96
640,-4.26,302,58.61
641,-82.7,228,51.55
642,-56.25,237,52.37
643,-27.95,259,48.72
644,-29.55,289,59.53
645,-97.11,226,46.17
646,11.5,292,51.54
647,-25.42,300,54.46
648,-19.52,280,57.43
649,-79.32,243,49.77
650,62.37,255,49.95
651,-88.27,271,56.28
652,-24.96,255,59.61
653,-90.34,224,52.88
654,-26.62,271,55.46
655,-59.59,279,64.19
656,-44.91,255,55.75
657,-90.94,269,61.83
658,-121.09,280,68.12
659,-54.94,255,57.73
660,-24.47,272,55.67
661,-88.98,243,56.81
662,-27.37,301,65.62
663,-18.44,256,52.39
664,-47.55,309,61.57
665,-63.25,256,60.12
666,-123.46,259,52.43
667,-38.7,279,60.08
668,-28.12,286,52.36
669,-22.51,264,54.33
670,-73.29,257,62.02
671,-27.14,271,57.85
672,-43.01,260,56.19
673,-17.13,264,48.39
674,-93.48,231,50.89
675,21.06,270,54.93
676,-31.24,257,53.23
677,-32.76,208,44.59
678,24.26,276,48.69
679,-32.55,221,53.74
680,-21.29,267,53.72
681,-77.19,293,58.79
682,-51.26,278,60.98
683,-130.44,267,54.31
684,-27.77,260,56.13
685,-79.39,262,60.44
686,-44.53,251,56.34
687,16.19,269,52.89
688,-12.82,247,50.3
689,0.78,268,54.79
690,-74.17,244,44.44
691,-62.42,243,58.04
692,-79.09,227,49.07
693,-8.77,252,51.13
694,-22.85,226,50.21
695,-39.64,283,58.35
696,-50.63,283,56.66
697,-3.36,235,50.61
698,-19.18,251,53.48
699,-22.45,239,50.67
700,-3.88,224,50.03
701,-75.28,246,56.67
702,-22.41,262,57.93
703,-32.7,260,53.59
704,-6.47,279,58.2
705,-17.67,248,44.52
706,-45.75,252,61.99
707,-49.09,248,52.69
708,-23.86,245,52.22
709,-56.72,258,52.28
710,-90.39,251,60.5
711,16.46,295,53.53
712,-98.61,259,55.09
713,-34.7,269,55.21
714,-52.04,224,46.07
715,5.46,316,55.68
716,-95.14,249,60.37
717,-71.6,287,67.35
718,-14.72,263,55.14
719,-46.99,223,44.74
720,34.3,286,55.35
721,-131.2,244,51.17
722,-62.56,228,44.29
723,12.91,250,55.6
724,-10.59,231,49.7
725,-41.53,235,53.7
726,9.97,270,53.54
727,-56.85,272,51.54
728,-12.27,257,48.33
729,-72.17,260,62.71
730,-48.32,258,61.54
731,-16.55,262,48.19
732,8.87,256,57.32
733,10.06,298,56.1
734,-20.24,253,50.08
735,-60.46,241,54.38
736,-71.6,260,61.41
737,17.33,272,52.86
738,-65.73,297,60.98
739,-92.87,242,60.49
740,-30.08,206,43.9
741,-58.72,292,57.72
742,-6.48,248,48.13
743,14.32,293,51.52
744,-10.68,273,54.91
745,-59.37,255,54.81
746,-12.1,257,58.15
747,19.26,261,52.09
748,-78.51,265,62.16
749,-63.67,249,50.59
750,-30.73,264,58.57
751,-45.16,250,48.72
752,-76.85,218,46.5
753,-39.03,241,51.12
754,-77.66,241,52.32
755,-52.29,267,54.08
756,-42.38,219,45.65
757,-3.63,253,56.05
758,-115.73,257,61.34
759,-82.36,234,52.76
760,-73.22,283,64.42
761,-26.23,224,49.53
762,-53.58,258,55.17
763,-97.72,260,61.76
764,-51.15,261,51.03
765,-79.82,283,47.12
766,-18.52,274,54.1
767,-51.94,280,65.23
768,11.51,217,41.33
769,-78.4,270,61.84
770,-10.74,238,50.13
771,-15.05,250,48.26
772,-45.79,262,55.28
773,-59.96,231,48.0
774,-7.18,254,54.08
775,-52.71,290,60.01
776,33.41,252,48.85
777,-107.07,270,57.56
778,-75.88,280,60.86
779,-54.71,256,49.86
780,-51.47,316,67.88
781,-1.12,235,60.89
782,-39.65,272,58.6
783,-27.12,312,54.35
784,-52.09,303,68.73
785,-30.68,239,45.48
786,-20.21,278,55.25
787,-97.61,256,56.96
788,-23.58,236,54.81
789,-29.93,278,51.56
790,-29.77,244,53.95
791,-61.08,297,52.56
792,-50.85,256,52.61
793,-25.55,278,55.23
794,-74.97,279,53.89
795,-72.26,274,56.61
796,-76.93,266,56.26
797,-141.13,257,54.86
798,-40.92,275,59.93
799,-71.44,277,57.02
800,9.46,274,47.45
801,-52.11,264,53.46
802,-3.42,258,52.07
803,-2.61,264,51.4
804,-68.5,257,60.33
805,-42.2,276,60.83
806,-26.62,233,50.55
807,-27.97,274,58.26
808,-50.3,223,47.09
809,-41.67,251,56.22
810,-103.74,245,59.81
811,-118.64,274,58.78
812,-90.27,224,48.37
813,-5.5,258,50.38
814,-45.43,292,67.23
815,-36.69,281,58.07
816,-67.27,234,54.25
817,-21.6,260,59.11
818,-13.75,265,54.41
819,-98.39,261,45.9
820,-13.26,262,48.95
821,-113.78,264,57.4
822,-49.11,245,51.21
823,-98.36,241,54.01
824,-68.38,287,56.78
825,17.18,257,46.42
826,-16.02,276,46.16
827,-32.64,246,50.06
828,-35.9,224,44.78
829,-52.41,264,61.73
830,-21.15,282,58.3
831,-81.38,247,55.6
832,-30.29,252,52.05
833,2.93,250,46.64
834,39.05,251,53.77
835,12.09,266,57.29
836,-26.63,258,61.82
837,-15.83,254,57.89
838,-38.59,225,46.22
839,-96.46,259,54.23
840,-83.93,280,56.12
841,-47.46,259,50.35
842,-1.26,280,55.38
843,-58.16,214,47.57
844,-8.23,281,57.49
845,-85.2,250,57.91
846,39.87,270,47.78
847,-7.92,241,52.81
848,-50.48,261,56.79
849,-71.14,261,52.17
850,-39.95,302,56.21
851,-48.8,271,67.24
852,36.31,273,46.88
853,-78.42,276,62.81
854,-61.45,249,57.77
855,13.91,236,44.71
856,28.97,272,49.87
857,-45.73,231,46.6
858,3.81,245,61.88
859,-6.06,219,50.23
860,-95.32,235,52.19
861,-48.94,254,52.89
862,-51.25,245,61.54
863,-41.44,267,62.09
864,-29.83,250,58.46
865,-88.55,259,62.21
866,-73.57,290,56.08
867,-85.81,233,52.48
868,-69.68,257,58.1
869,8.06,240,44.66
870,-63.27,250,56.46
871,-51.71,267,64.11
872,-23.69,257,53.54
873,34.12,264,49.78
874,-34.66,269,53.95
875,-109.25,277,65.93
876,-69.68,275,54.29
877,-78.11,254,53.29
878,-31.35,256,54.36
879,-29.31,300,61.85
880,-57.18,272,56.0
881,-20.78,303,49.06
882,-26.88,268,55.91
883,-47.96,241,51.34
884,-30.69,257,52.48
885,-52.17,259,51.78
886,-26.73,283,59.73
887,-40.92,306,54.63
888,31.21,247,53.15
889,-44.13,245,53.23
890,-15.51,231,49.78
891,-9.42,260,51.06
892,-76.19,269,65.37
893,-7.72,293,63.8
894,-11.91,305,60.3
895,-14.8,254,55.26
896,6.54,312,60.23
897,17.36,238,49.75
898,-9.74,286,53.87
899,3.42,267,48.88
900,-103.46,264,53.89
901,-12.21,257,52.38
902,16.79,322,56.76
903,-6.58,223,39.14
904,-57.81,260,58.84
905,-71.2,256,50.46
906,-40.45,269,57.04
907,-25.42,242,52.22
908,-45.71,288,60.97
909,-18.68,265,54.65
910,-55.08,294,63.72
911,62.36,247,32.94
912,-143.6,246,52.73
913,-28.37,225,44.92
914,8.08,263,52.85
915,-38.51,276,63.12
916,-39.57,276,53.49
917,5.55,236,51.61
918,-62.52,247,47.37
919,-53.04,256,60.28
920,-40.88,253,54.66
921,6.35,291,54.1
922,-103.29,296,60.77
923,-41.8,230,53.75
924,33.65,288,55.8
925,-37.08,280,54.73
926,-7.66,263,51.32
927,-59.65,272,57.76
928,-48.14,231,48.54
929,-29.29,293,61.47
930,-68.79,236,51.92
931,-30.33,283,49.93
932,-34.43,253,57.72
933,-58.44,231,52.98
934,-17.87,272,51.87
935,-36.25,258,49.24
936,-21.31,267,57.39
937,-13.13,291,65.76
938,-11.95,307,60.69
939,-90.33,264,61.64
940,-56.14,250,52.62
941,-24.2,298,60.04
942,-28.26,305,65.61
943,16.66,239,45.84
944,-53.37,244,50.4
945,-125.35,299,67.06
946,-36.75,241,51.86
947,19.16,297,58.31
948,-52.63,271,58.8
949,64.16,300,49.08
950,29.29,289,50.75
951,-61.18,263,60.81
952,-56.82,261,43.32
953,-41.34,277,60.61
954,-8.21,234,49.88
955,11.18,291,50.15
956,25.01,299,51.2
957,-58.34,274,57.79
958,-124.47,262,64.54
959,-33.43,236,49.84
960,14.93,248,52.93
961,-58.7,329,67.57
962,-5.64,259,58.42
963,-9.03,242,49.08
964,-44.48,235,56.2
965,-13.07,220,43.91
966,-68.07,269,55.83
967,-39.36,235,43.04
968,-81.55,268,56.04
969,-73.7,270,60.25
970,-36.68,301,59.8
971,-44.84,270,58.06
972,-61.29,274,57.58
973,-38.31,251,54.86
974,-56.11,260,54.1
975,-60.07,262,55.14
976,-116.16,271,60.0
977,41.42,264,47.66
978,-37.92,260,50.46
979,8.41,269,59.73
980,-13.94,265,46.96
981,-60.14,293,62.93
982,-27.08,314,63.83
983,-23.17,245,49.49
984,-90.8,259,51.29
985,-0.67,225,47.38
986,-68.59,265,58.87
987,-75.36,238,50.43
988,26.19,280,53.4
989,-60.22,245,49.87
990,-89.65,227,52.7
991,-49.04,261,57.2
992,-25.49,268,53.97
993,28.6,264,57.16
994,22.68,263,61.54
995,-37.58,270,51.01
996,-5.74,218,47.89
997,-16.91,288,60.61
998,-35.23,244,49.41
999,-14.24,252,53.68
1000,-103.55,284,64.94
1001,-26.81,273,58.23
1002,-18.08,215,46.23
1003,-31.38,267,45.59
1004,43.3,267,51.7
1005,-92.91,240,54.95
1006,-42.08,264,57.31
1007,-15.87,322,62.29
1008,-7.13,239,39.53
1009,-33.92,252,55.31
1010,-21.73,255,45.39
1011,21.56,269,53.68
1012,-12.39,286,49.97
1013,-98.7,238,56.75
1014,-66.67,260,52.9
1015,7.98,262,55.3
1016,-8.98,235,50.95
1017,-25.2,250,59.2
1018,-48.95,265,57.67
1019,-43.93,254,54.74
1020,-32.91,302,56.69
1021,-117.12,250,48.95
1022,-29.93,254,45.5
1023,-61.24,265,53.62
1024,-35.27,250,55.19
1025,-34.95,238,55.82
1026,-3.26,257,56.87
1027,-73.39,262,52.28
1028,-58.56,266,56.17
1029,26.06,234,48.38
1030,-39.5,236,52.48
1031,-45.58,257,58.72
1032,-100.1,300,57.23
1033,-21.22,249,54.43
1034,-20.73,221,48.73
1035,-29.35,248,52.35
1036,-65.33,279,61.4
1037,-24.75,264,56.95
1038,-99.82,236,59.57
1039,-19.56,270,48.88
1040,-26.65,236,55.09
1041,-23.15,232,45.88
1042,-18.88,238,49.91
1043,-13.63,225,50.16
1044,29.75,253,53.4
1045,-34.55,244,54.18
1046,-66.25,220,43.66
1047,-23.07,254,56.9
1048,-23.47,261,54.16
1049,-59.96,317,60.59
1050,-37.02,240,42.09
1051,-86.59,259,55.72
1052,-13.06,284,59.56
1053,1.29,277,54.32
1054,-38.18,255,52.24
1055,-58.99,226,49.59
1056,-54.98,285,58.95
1057,-40.93,287,62.95
1058,-42.26,240,51.55
1059,23.78,261,55.58
1060,-28.54,289,55.91
1061,-36.58,228,50.73
1062,30.53,247,54.89
1063,0.16,241,50.46
1064,-90.54,273,60.32
1065,16.95,244,50.44
1066,25.27,277,50.94
1067,-26.83,261,52.74
1068,-53.75,266,54.45
1069,-35.79,240,53.53
1070,-39.94,297,59.2
1071,-56.07,227,43.08
1072,-47.41,279,63.05
1073,-19.0,290,62.2
1074,24.36,253,51.77
